OBJECTID *,GIS_ACRES,REGION,THP_YEAR,THP_NUM,COUNTY,TIMBEROWNR,LANDOWNER,SILVI_1,SILVI_2,SILVI_CAT,YARD,UNIT,PLAN_STAT,APPROVED,COMPLETED,COMMENTS,SPATL_MOD,MODIFIED,HD_NUM,GLOBALID *,Shape__Area *,Shape__Length *,Shape *
32262,29.065917,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Transition,<Null>,Unevenaged Management,Cable System,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{ba9cb2e1-4ebe-4723-8136-9934505dd480},117625.5923,2232.716635,Polygon
32263,0.794189,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Cable System,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{e2b42d79-2d57-457d-bc50-73890c814ed3},3213.968643,259.268718,Polygon
32264,19.422677,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Alternative Prescription,Commercial Thin,Intermediate Treatments,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,NAIP_2009,8/2/2010 7:00,1-06-102-MEN,{53845852-1ae5-451a-8078-a1184ce323a4},78600.7856,1285.41482,Polygon
32274,2.859365,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Transition,<Null>,Unevenaged Management,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{885cd522-480c-4cc3-a1dd-dadf43028813},11571.43866,632.139982,Polygon
32275,0.30665,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Alternative Prescription,Commercial Thin,Intermediate Treatments,Cable System,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{8565dfec-48ad-4a41-add3-771735cd7854},1240.968121,214.050298,Polygon
32488,7.511972,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{9b1d0f99-6f94-4944-a7de-63aa1dfd020c},30399.87082,948.264028,Polygon
32493,18.244001,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{984bd1c5-897d-4905-ae86-834e8ed41c67},73830.85362,1055.526513,Polygon
33386,17.179484,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Transition,<Null>,Unevenaged Management,Tractor or Skidder,<Null>,Unlogged,10/3/2006 7:00,12/12/2008 8:00,Unlogged per RM-71,<Null>,<Null>,1-06-102-MEN,{dce9df1b-7b25-4428-aebf-4a92786822b3},69522.9035,1160.453102,Polygon
31076,3.703691,1 - Coast,2004,5,Humboldt,Green Diamond Resource Co,Green Diamond Resource Co,Clearcut,<Null>,Evenaged Management,Tractor with Helicopter option,<Null>,Completed,4/13/2004 7:00,12/10/2008 8:00,<Null>,<Null>,<Null>,1-04-005-HUM,{248d787d-c834-4726-83bc-00c86ff15d04},14988.30526,522.806214,Polygon
31077,29.243096,1 - Coast,2004,5,Humboldt,Green Diamond Resource Co,Green Diamond Resource Co,Clearcut,<Null>,Evenaged Management,Tractor with Helicopter option,<Null>,Completed,4/13/2004 7:00,12/10/2008 8:00,<Null>,<Null>,<Null>,1-04-005-HUM,{ef2ad7ae-774a-419f-b2cd-a47418e00eda},118342.6114,1380.658367,Polygon
